id,symbol,last_price,best_bid,best_ask,spread,spread_percent,volume,timestamp
348,XRPIRT,207720.0,206873.0,207645.0,772.0,0.37317581318006704,0.0,1785496683
349,DOGEIRT,13455.0,13400.0,13460.0,60.0,0.44776119402985076,0.0,1785496683
350,BTCIRT,12375346149.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496690
351,ETHIRT,364233147.0,364233147.0,364813073.0,579926.0,0.15921834813128635,0.0,1785496690
352,BNBIRT,114662321.0,114097494.0,114762295.0,664801.0,0.5826604745587138,0.0,1785496690
353,SOLIRT,14205045.0,14154000.0,14234566.0,80566.0,0.5692101172813339,0.0,1785496690
354,XRPIRT,207720.0,206873.0,207645.0,772.0,0.37317581318006704,0.0,1785496690
355,DOGEIRT,13455.0,13400.0,13460.0,60.0,0.44776119402985076,0.0,1785496690
356,BTCIRT,12375346149.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496738
357,ETHIRT,364233147.0,364233147.0,364813073.0,579926.0,0.15921834813128635,0.0,1785496738
358,SOLIRT,14205045.0,14185760.0,14234566.0,48806.0,0.34404924374866064,0.0,1785496738
359,XRPIRT,207720.0,206873.0,207688.0,815.0,0.39396151261885315,0.0,1785496738
360,DOGEIRT,13452.0,13406.0,13457.0,51.0,0.380426674623303,0.0,1785496738
361,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496746
362,ETHIRT,364908337.0,364233147.0,364908337.0,675190.0,0.18537302427337837,0.0,1785496746
363,BNBIRT,114097494.0,114158104.0,114766230.0,608126.0,0.5327050631464587,0.0,1785496746
364,SOLIRT,14205045.0,14185760.0,14234566.0,48806.0,0.34404924374866064,0.0,1785496746
365,XRPIRT,207720.0,207246.0,207723.0,477.0,0.23016125763585304,0.0,1785496746
366,DOGEIRT,13452.0,13406.0,13457.0,51.0,0.380426674623303,0.0,1785496746
367,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496754
368,ETHIRT,364908337.0,364233147.0,364908337.0,675190.0,0.18537302427337837,0.0,1785496754
